State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","2,890.00","2,670.00",Rs./Quintal,644,Metric Tonnes,26-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","2,890.00","2,550.00",Rs./Quintal,263.9,Metric Tonnes,25-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","2,890.00","2,630.00",Rs./Quintal,139.1,Metric Tonnes,24-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,250.00","2,890.00",Rs./Quintal,581.5,Metric Tonnes,24-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,250.00","2,890.00",Rs./Quintal,373.3,Metric Tonnes,23-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Broken Rice,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,17,Metric Tonnes,22-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,100.00","2,890.00",Rs./Quintal,499.5,Metric Tonnes,22-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","2,100.00","2,100.00",Rs./Quintal,1.2,Metric Tonnes,20-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,110.00","2,890.00",Rs./Quintal,198.3,Metric Tonnes,20-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,150.00","3,220.00",Rs./Quintal,40.9,Metric Tonnes,20-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Broken Rice,Local,"3,820.00","3,820.00","3,820.00",Rs./Quintal,4.1,Metric Tonnes,20-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,310.00","6,743.00","4,600.00",Rs./Quintal,463.5,Metric Tonnes,20-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,300.00","4,050.00",Rs./Quintal,345.7,Metric Tonnes,19-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,150.00","6,720.00","3,330.00",Rs./Quintal,83.8,Metric Tonnes,19-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,330.00","4,150.00","2,840.00",Rs./Quintal,395.2,Metric Tonnes,19-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","2,890.00","2,560.00",Rs./Quintal,182.5,Metric Tonnes,18-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","4,250.00","3,700.00",Rs./Quintal,163.4,Metric Tonnes,17-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Broken Rice,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,40,Metric Tonnes,17-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,330.00","5,040.00","3,700.00",Rs./Quintal,187.7,Metric Tonnes,17-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","2,300.00","2,300.00",Rs./Quintal,20,Metric Tonnes,16-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,330.00","4,000.00","3,200.00",Rs./Quintal,472.3,Metric Tonnes,16-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","2,890.00","2,580.00",Rs./Quintal,223.3,Metric Tonnes,15-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,150.00","2,890.00","2,659.00",Rs./Quintal,180.7,Metric Tonnes,15-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,890.00","2,890.00","2,890.00",Rs./Quintal,150,Metric Tonnes,14-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,400.00","4,000.00","3,300.00",Rs./Quintal,262.1,Metric Tonnes,14-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","7,140.00","4,300.00",Rs./Quintal,237.4,Metric Tonnes,13-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,330.00","4,000.00","3,240.00",Rs./Quintal,123.8,Metric Tonnes,13-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,300.00","3,760.00",Rs./Quintal,157.2,Metric Tonnes,12-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,150.00","6,280.00","4,000.00",Rs./Quintal,154,Metric Tonnes,12-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,330.00","2,890.00","2,660.00",Rs./Quintal,319.1,Metric Tonnes,12-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","6,650.00","4,000.00",Rs./Quintal,47.7,Metric Tonnes,11-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","2,300.00","2,300.00",Rs./Quintal,20,Metric Tonnes,11-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","2,890.00","2,640.00",Rs./Quintal,95,Metric Tonnes,10-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","7,240.00","3,890.00",Rs./Quintal,320.5,Metric Tonnes,09-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,330.00","2,890.00","2,680.00",Rs./Quintal,120.4,Metric Tonnes,09-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,400.00","4,000.00","3,430.00",Rs./Quintal,168.4,Metric Tonnes,08-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Broken Rice,Local,"2,200.00","2,200.00","2,200.00",Rs./Quintal,33.1,Metric Tonnes,07-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,330.00","4,300.00","3,380.00",Rs./Quintal,81.3,Metric Tonnes,07-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","2,890.00","2,620.00",Rs./Quintal,137.4,Metric Tonnes,06-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","5,400.00","4,100.00",Rs./Quintal,250.3,Metric Tonnes,05-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,000.00","2,890.00",Rs./Quintal,113.7,Metric Tonnes,04-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,250,"4,320.00","2,890.00",Rs./Quintal,153.8,Metric Tonnes,03-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","4,250.00","3,300.00",Rs./Quintal,177,Metric Tonnes,03-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","2,890.00","2,300.00",Rs./Quintal,225.2,Metric Tonnes,02-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","4,250.00","3,500.00",Rs./Quintal,253.7,Metric Tonnes,02-01-2026
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","4,250.00","2,890.00",Rs./Quintal,207.6,Metric Tonnes,01-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Broken Rice,Local,"2,150.00","2,150.00","2,150.00",Rs./Quintal,23.2,Metric Tonnes,31-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,31-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","2,100.00","2,100.00",Rs./Quintal,16.6,Metric Tonnes,30-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,30-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,91.5,Metric Tonnes,29-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,28-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","2,100.00","2,100.00",Rs./Quintal,14,Metric Tonnes,27-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,27-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","2,100.00","2,100.00",Rs./Quintal,41.3,Metric Tonnes,26-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,26-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,23-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,22-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"2,600.00","2,900.00","2,817.00",Rs./Quintal,114.6,Metric Tonnes,21-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,19-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,91,Metric Tonnes,18-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,17-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,16-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,91,Metric Tonnes,12-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,09-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,07-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,39,Metric Tonnes,06-12-2025
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,189,Metric Tonnes,05-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,04-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,90,Metric Tonnes,03-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,02-01-2026
Karnataka,Davangere,Honnali APMC,Cereals,Rice,Sarbati Raw,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,99,Metric Tonnes,01-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,694.00","5,694.00","5,694.00",Rs./Quintal,15.1,Metric Tonnes,31-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,855.00","9,313.00","7,500.00",Rs./Quintal,5,Metric Tonnes,30-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"4,150.00","4,150.00","4,150.00",Rs./Quintal,68.7,Metric Tonnes,29-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"3,060.00","5,694.00","5,410.00",Rs./Quintal,189.5,Metric Tonnes,27-11-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Fine,Local,"5,679.00","6,320.00","5,684.00",Rs./Quintal,16.3,Metric Tonnes,24-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"4,135.00","5,576.00","4,855.00",Rs./Quintal,31.1,Metric Tonnes,22-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,571.00","6,135.00","5,929.00",Rs./Quintal,48.6,Metric Tonnes,20-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"3,120.00","5,730.00","5,380.00",Rs./Quintal,51,Metric Tonnes,20-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,735.00","5,735.00","5,735.00",Rs./Quintal,4.2,Metric Tonnes,19-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"7,500.00","10,000.00","8,100.00",Rs./Quintal,57.1,Metric Tonnes,17-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,550.00","5,550.00","5,550.00",Rs./Quintal,3.1,Metric Tonnes,17-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,306.00","5,678.00","5,580.00",Rs./Quintal,159.4,Metric Tonnes,16-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,583.00","5,583.00","5,583.00",Rs./Quintal,2.6,Metric Tonnes,16-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Basmati,Local,"8,766.00","10,125.00","9,000.00",Rs./Quintal,8.9,Metric Tonnes,15-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,430.00","5,430.00","5,430.00",Rs./Quintal,5.2,Metric Tonnes,14-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"2,100.00","6,630.00","3,935.00",Rs./Quintal,28.5,Metric Tonnes,13-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Basmati,Local,"6,900.00","9,000.00","7,800.00",Rs./Quintal,33.5,Metric Tonnes,12-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Basmati,Local,"6,343.00","16,781.00","10,000.00",Rs./Quintal,119.3,Metric Tonnes,12-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"3,070.00","5,679.00","5,450.00",Rs./Quintal,183.2,Metric Tonnes,11-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"1,000.00","10,000.00","9,390.00",Rs./Quintal,34.4,Metric Tonnes,10-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Basmati,Local,"6,963.00","6,963.00","6,963.00",Rs./Quintal,28.5,Metric Tonnes,10-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,450.00","5,825.00","5,738.00",Rs./Quintal,49,Metric Tonnes,09-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,350.00","10,100.00","5,350.00",Rs./Quintal,68.5,Metric Tonnes,09-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"3,800.00","4,000.00","4,000.00",Rs./Quintal,61.2,Metric Tonnes,05-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"4,200.00","5,684.00","5,588.00",Rs./Quintal,208.8,Metric Tonnes,04-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Basmati,Local,"5,300.00","12,000.00","7,923.00",Rs./Quintal,12.4,Metric Tonnes,03-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"3,110.00","3,110.00","3,110.00",Rs./Quintal,6.2,Metric Tonnes,03-01-2026
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Basmati,Local,"6,450.00","6,471.00","6,460.00",Rs./Quintal,32.1,Metric Tonnes,02-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"4,900.00","5,700.00","5,200.00",Rs./Quintal,77.7,Metric Tonnes,02-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Medium,Local,"5,130.00","5,699.00","5,400.00",Rs./Quintal,5.2,Metric Tonnes,01-12-2025
Karnataka,Dharwad,Hubli (Amaragol) APMC,Cereals,Rice,Basmati,Local,"3,868.00","10,000.00","10,000.00",Rs./Quintal,155.1,Metric Tonnes,01-01-2026
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,200.00","3,075.00","2,650.00",Rs./Quintal,1,Metric Tonnes,31-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,150.00","4,150.00","3,680.00",Rs./Quintal,3,Metric Tonnes,31-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,350.00","6,320.00","5,650.00",Rs./Quintal,4.5,Metric Tonnes,31-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","3,100.00","2,650.00",Rs./Quintal,1,Metric Tonnes,30-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,250.00","4,300.00","3,850.00",Rs./Quintal,2,Metric Tonnes,30-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,500.00","6,250.00","5,150.00",Rs./Quintal,3,Metric Tonnes,30-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","3,100.00","2,450.00",Rs./Quintal,1.5,Metric Tonnes,29-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,100.00","4,350.00","3,800.00",Rs./Quintal,2.5,Metric Tonnes,29-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,250.00","6,300.00","5,450.00",Rs./Quintal,3,Metric Tonnes,29-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","3,050.00","2,600.00",Rs./Quintal,1.2,Metric Tonnes,29-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,000.00","3,950.00","3,500.00",Rs./Quintal,1.8,Metric Tonnes,29-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,100.00","6,150.00","5,250.00",Rs./Quintal,2.8,Metric Tonnes,29-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","3,050.00","2,650.00",Rs./Quintal,1,Metric Tonnes,28-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,100.00","3,950.00","3,600.00",Rs./Quintal,2,Metric Tonnes,28-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,150.00","6,250.00","5,350.00",Rs./Quintal,3,Metric Tonnes,28-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,200.00","3,100.00","2,600.00",Rs./Quintal,1.5,Metric Tonnes,27-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,200.00","3,800.00","3,600.00",Rs./Quintal,2.8,Metric Tonnes,27-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,000.00","6,350.00","5,500.00",Rs./Quintal,4.5,Metric Tonnes,27-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,200.00","3,250.00","2,800.00",Rs./Quintal,1.5,Metric Tonnes,26-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"4,350.00","6,250.00","5,350.00",Rs./Quintal,4,Metric Tonnes,26-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"3,100.00","4,200.00","3,800.00",Rs./Quintal,3,Metric Tonnes,26-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,200.00","3,000.00","2,650.00",Rs./Quintal,1,Metric Tonnes,26-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,100.00","3,850.00","3,550.00",Rs./Quintal,2.5,Metric Tonnes,26-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,050.00","6,300.00","5,300.00",Rs./Quintal,4,Metric Tonnes,26-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,800.00","4,000.00","3,600.00",Rs./Quintal,0.9,Metric Tonnes,25-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,050.00","4,100.00","3,800.00",Rs./Quintal,2.1,Metric Tonnes,25-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,000.00","6,000.00","5,100.00",Rs./Quintal,2.2,Metric Tonnes,25-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,850.00","3,850.00","3,200.00",Rs./Quintal,2,Metric Tonnes,24-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,000.00","4,200.00","3,750.00",Rs./Quintal,1.5,Metric Tonnes,24-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,250.00","6,000.00","5,300.00",Rs./Quintal,3,Metric Tonnes,24-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,400.00","3,055.00","2,775.00",Rs./Quintal,1,Metric Tonnes,24-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,200.00","3,950.00","3,650.00",Rs./Quintal,3,Metric Tonnes,24-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,100.00","6,250.00","5,500.00",Rs./Quintal,4.5,Metric Tonnes,24-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,800.00","3,900.00","3,150.00",Rs./Quintal,1.5,Metric Tonnes,23-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,100.00","4,150.00","3,700.00",Rs./Quintal,2,Metric Tonnes,23-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,150.00","6,150.00","5,250.00",Rs./Quintal,3.5,Metric Tonnes,23-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,100.00","2,900.00","2,575.00",Rs./Quintal,1,Metric Tonnes,22-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,200.00","4,250.00","3,850.00",Rs./Quintal,3,Metric Tonnes,22-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Fine,Local,"4,275.00","6,350.00","5,475.00",Rs./Quintal,4,Metric Tonnes,22-12-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Broken Rice,Local,"2,200.00","3,175.00","2,850.00",Rs./Quintal,1.5,Metric Tonnes,21-11-2025
Karnataka,Kalburgi,Kalburgi APMC,Cereals,Rice,Coarse,Local,"3,000.00","4,000.00","3,650.00",Rs./Quintal,1.5,Metric Tonnes,21-11-2025
